Campaign,Ad_Set,Ad_Id,Gender,Location,Age_Target,Start_date,End_date,Amount_Spent_$,Reach,Impressions,Results,Cost_Per_Result,Frequncy,Post_Engagement,Post_Comments,Post_Shares,Post_Likes,Follows_Likes,Clicks,Cpc_$,Ctr
website traffic,June,AD_468817,Female,"New York City, New York",18-25,2022-06-17,2022-07-16,22.51843787906973,675,944,87,0.25883261929965207,3,590,84,211,295,196,188,0.11977892488866877,0.19915254237288135
brand awarness,July,AD_469341,Female,"Los Angeles, California",18-25,2022-07-16,2022-08-12,24.68806499990889,740,1036,68,0.36305977941042483,1,647,92,231,324,215,207,0.11926601449231347,0.1998069498069498
brand awarness,May,AD_469185,Female,"New York City, New York",18-25,2022-05-13,2022-06-07,59.415877530806775,1782,2494,133,0.4467359212842615,3,1558,222,557,779,519,498,0.11930899102571642,0.1996792301523657
brand awarness,May,AD_469209,Male,"Los Angeles, California",25-35,2022-05-20,2022-06-08,45.075071593265214,1352,1892,77,0.5853905401722755,1,1182,168,423,591,394,378,0.11924622114620427,0.19978858350951373
brand awarness,July,AD_469242,Male,"Los Angeles, California",25-35,2022-07-06,2022-08-01,86.71566635512522,2601,3641,120,0.7226305529593768,1,2275,325,812,1138,758,728,0.1191149263119852,0.19994507003570447
brand awarness,May,AD_469253,Female,"Houston, Texas",25-35,2022-05-28,2022-06-03,24.67354098493789,740,1036,71,0.3475146617596886,1,647,92,231,324,215,207,0.11919585016878208,0.1998069498069498
brand awarness,June,AD_469340,Male,"New York City, New York",35-40,2022-06-26,2022-07-20,32.04557597385533,961,1345,159,0.2015445029802222,3,840,120,300,420,280,269,0.11912853521879305,0.2
brand awarness,June,AD_469252,Female,"Los Angeles, California",45-60,2022-06-26,2022-06-28,27.85855188075472,835,1169,27,1.0317982178057303,3,730,104,261,365,243,233,0.11956460034658678,0.19931565440547477
generate leads,July,AD_468969,Female,"New York City, New York",25-35,2022-07-23,2022-07-29,80.19285967180681,2405,3367,27,2.970105913770623,2,2104,300,752,1052,701,673,0.11915729520327907,0.19988119988119987
generate leads,June,AD_469025,Male,"Los Angeles, California",60+,2022-06-08,2022-07-06,84.9114718060009,2547,3565,98,0.8664435898571521,1,2228,318,796,1114,742,713,0.11909042329032385,0.2
brand awarness,May,AD_469334,Male,"New York City, New York",35-40,2022-05-09,2022-05-30,69.78174406568316,2093,2930,26,2.683913233295506,2,1831,261,654,916,610,586,0.11908147451481767,0.2
website traffic,July,AD_468810,Female,"Chicago,Illinois",25-35,2022-07-22,2022-07-26,72.56550312344375,2176,3046,141,0.5146489583222961,1,1903,271,680,952,634,609,0.11915517754260058,0.19993434011818778
brand awarness,June,AD_469192,Male,"Houston, Texas",25-35,2022-06-17,2022-06-20,84.93882903940572,2548,3567,173,0.4909758904011891,3,2229,318,796,1115,743,713,0.11912879248163495,0.199887860947575
website traffic,May,AD_468796,Male,"Los Angeles, California",25-35,2022-05-05,2022-05-06,24.7845471771533,743,1040,177,0.14002569026640282,1,650,92,233,325,216,208,0.11915647681323702,0.2
generate leads,May,AD_469071,Female,"Los Angeles, California",25-35,2022-05-30,2022-06-23,92.44665963848065,2773,3882,64,1.4444790568512602,3,2426,346,867,1213,808,776,0.11913229334855754,0.19989696032972695
brand awarness,June,AD_469220,Female,"Los Angeles, California",25-35,2022-06-16,2022-07-12,75.45576578379524,2263,3168,180,0.41919869879886246,2,1980,282,708,990,660,633,0.11920342145939217,0.19981060606060605
brand awarness,June,AD_469363,Male,"Phoenix, Arizona",25-35,2022-06-01,2022-06-04,43.96390734768104,1318,1845,56,0.7850697740657328,2,1153,164,412,577,384,369,0.11914338034601907,0.2
website traffic,June,AD_468843,Male,"New York City, New York",25-35,2022-06-18,2022-07-08,35.21081339447956,1056,1478,114,0.3088667841621014,3,923,131,330,462,307,295,0.11935868947281206,0.19959404600811909
brand awarness,July,AD_469258,Male,"New York City, New York",25-35,2022-07-07,2022-07-30,65.7246378438627,1971,2759,91,0.7222487675149747,1,1724,246,616,862,574,551,0.11928246432642957,0.19971003986951794
generate leads,May,AD_468952,Female,"Phoenix, Arizona",25-35,2022-05-28,2022-05-29,61.09398918350069,1832,2564,189,0.32324862001852217,2,1602,228,573,801,534,512,0.11932419762402478,0.1996879875195008
brand awarness,July,AD_469249,Female,"Houston, Texas",25-35,2022-07-30,2022-08-13,68.57653274974103,2057,2879,148,0.4633549510117637,1,1799,257,642,900,599,575,0.11926353521694093,0.1997221257381035
website traffic,May,AD_468928,Male,"Chicago,Illinois",18-25,2022-05-30,2022-06-10,57.32567193823327,1719,2406,100,0.5732567193823327,3,1503,214,537,752,501,481,0.11918019113977811,0.1999168744804655
generate leads,July,AD_468978,Female,"New York City, New York",18-25,2022-07-07,2022-07-16,92.05673116674757,2761,3865,35,2.6301923190499306,3,2415,345,862,1208,805,773,0.11909020849514562,0.2
brand awarness,May,AD_469135,Male,"Los Angeles, California",60+,2022-05-04,2022-05-25,87.07910550726734,2612,3656,32,2.7212220471021045,2,2285,326,816,1143,761,731,0.11912326334783495,0.199945295404814
website traffic,July,AD_468892,Male,"New York City, New York",25-35,2022-07-10,2022-08-03,11.817001517379735,354,495,153,0.07723530403516167,1,309,44,110,155,103,99,0.1193636516907044,0.2
generate leads,May,AD_469057,Male,"New York City, New York",25-35,2022-05-11,2022-05-25,17.410672917660577,522,730,145,0.12007360632869363,3,456,65,163,228,152,146,0.11925118436753819,0.2
brand awarness,June,AD_469157,Male,"Phoenix, Arizona",25-35,2022-06-24,2022-07-14,26.140061537125515,784,1097,38,0.6878963562401451,1,685,97,245,343,228,219,0.11936101158504801,0.19963536918869645
brand awarness,July,AD_469323,Male,"Los Angeles, California",35-40,2022-07-02,2022-07-14,38.84808972225208,1165,1631,76,0.5111590752927905,1,1019,145,364,510,339,326,0.11916591939341128,0.19987737584304108
brand awarness,July,AD_469324,Male,"Chicago,Illinois",25-35,2022-07-30,2022-08-05,39.20814659802125,1176,1646,60,0.6534691099670209,1,1028,146,368,514,342,329,0.11917369786632599,0.19987849331713245
generate leads,July,AD_469023,Male,"New York City, New York",45-60,2022-07-23,2022-08-14,69.9567000532574,2098,2937,35,1.9987628586644974,3,1835,262,655,918,611,587,0.11917666107880308,0.19986380660537964
website traffic,July,AD_468859,Male,"Los Angeles, California",25-35,2022-07-15,2022-07-23,81.73491287410086,2452,3432,198,0.4128025902732366,2,2145,306,766,1073,715,686,0.11914710331501582,0.1998834498834499
website traffic,June,AD_468913,Male,"New York City, New York",25-35,2022-06-03,2022-06-30,17.989577969364447,539,754,33,0.5451387263443772,3,471,67,168,236,157,150,0.11993051979576298,0.1989389920424403
brand awarness,July,AD_469302,Male,"New York City, New York",35-40,2022-07-24,2022-08-20,13.077143346037994,392,548,26,0.5029670517706921,3,342,48,123,171,114,109,0.11997379216548619,0.1989051094890511
generate leads,July,AD_469007,Female,"Houston, Texas",60+,2022-07-24,2022-07-25,24.160682645838854,724,1013,162,0.14914001633233862,3,633,90,226,317,211,202,0.11960733983088541,0.19940769990128332
brand awarness,June,AD_469088,Male,"Los Angeles, California",25-35,2022-06-17,2022-06-23,96.67629850575747,2900,4059,151,0.6402403874553475,1,2536,362,906,1268,845,811,0.1192062866902065,0.19980290711998028
website traffic,May,AD_468844,Male,"Chicago,Illinois",45-60,2022-05-09,2022-05-31,76.44345634535249,2293,3210,73,1.0471706348678422,3,2006,286,717,1003,668,642,0.11907080427624998,0.2
website traffic,July,AD_468852,Female,"Los Angeles, California",35-40,2022-07-23,2022-07-29,38.45198550539473,1153,1614,61,0.6303604181212251,2,1008,144,360,504,336,322,0.11941610405402091,0.19950433705080545
brand awarness,May,AD_469149,Male,"New York City, New York",25-35,2022-05-20,2022-06-02,85.16682206254116,2555,3577,78,1.0918823341351431,3,2235,319,798,1118,745,715,0.11911443645110652,0.19988817444786133
brand awarness,May,AD_469222,Male,"Houston, Texas",18-25,2022-05-28,2022-06-15,98.10372732985898,2943,4120,194,0.5056893161332937,3,2575,367,920,1288,858,824,0.11905792151681915,0.2
generate leads,July,AD_469002,Female,"Phoenix, Arizona",35-40,2022-07-15,2022-07-30,72.61015498739818,2178,3049,40,1.8152538746849545,1,1905,272,680,953,635,609,0.11922849751625317,0.19973761889143982
website traffic,June,AD_468811,Male,"Los Angeles, California",35-40,2022-06-14,2022-06-28,88.97532343409787,2669,3736,31,2.8701717236805764,1,2335,333,834,1168,778,747,0.11911020540039877,0.19994646680942185
generate leads,May,AD_469070,Male,"Los Angeles, California",35-40,2022-05-09,2022-06-05,50.10732174701127,1503,2104,117,0.42826770723941254,3,1315,187,470,658,438,420,0.11930314701669349,0.19961977186311788
generate leads,May,AD_468995,Male,"New York City, New York",25-35,2022-05-21,2022-05-31,48.59540151457872,1457,2039,63,0.7713555795964876,2,1274,182,455,637,424,407,0.11939902092034083,0.19960765080922022
website traffic,June,AD_468797,Female,"Los Angeles, California",45-60,2022-06-28,2022-07-24,96.80426290284286,2904,4065,82,1.1805397914980837,2,2540,362,908,1270,846,813,0.11907043407483747,0.2
brand awarness,May,AD_469237,Female,"New York City, New York",25-35,2022-05-18,2022-06-01,76.61734460942958,2298,3217,47,1.6301562682857358,2,2010,287,718,1005,670,643,0.11915605693534927,0.19987566055331055
website traffic,July,AD_468912,Male,"Los Angeles, California",60+,2022-07-13,2022-07-20,90.30409064221234,2709,3792,71,1.27188860059454,1,2370,338,847,1185,790,758,0.11913468422455455,0.1998945147679325
website traffic,July,AD_468856,Female,"Houston, Texas",25-35,2022-07-10,2022-07-19,48.86787616874048,1466,2052,25,1.9547150467496193,3,1282,183,458,641,427,410,0.11918994187497678,0.19980506822612085
brand awarness,July,AD_469268,Male,"Phoenix, Arizona",45-60,2022-07-07,2022-07-21,22.212263202747096,666,932,101,0.21992339804700095,2,582,83,208,291,194,186,0.11942076990724244,0.19957081545064378
brand awarness,July,AD_469234,Male,"New York City, New York",35-40,2022-07-01,2022-07-08,41.29383615213687,1238,1733,118,0.3499477640011599,2,1083,154,387,542,361,346,0.11934634726051119,0.1996537795729948
brand awarness,May,AD_469279,Female,"Los Angeles, California",60+,2022-05-09,2022-06-02,59.50489181650371,1785,2499,138,0.4311948682355341,3,1561,223,557,781,520,499,0.1192482801933942,0.1996798719487795
generate leads,June,AD_469043,Female,"New York City, New York",25-35,2022-06-13,2022-06-19,73.99427256195088,2219,3106,147,0.5033623983806182,3,1941,277,693,971,647,621,0.119153417974156,0.19993560849967804
generate leads,June,AD_468967,Male,"Los Angeles, California",18-25,2022-06-10,2022-06-21,64.46788272915327,1934,2707,118,0.5463379892301125,2,1691,241,604,846,563,541,0.11916429339954394,0.19985223494643517
brand awarness,June,AD_469174,Male,"Phoenix, Arizona",18-25,2022-06-22,2022-06-23,54.004409047823486,1620,2268,181,0.29836690081670436,3,1417,202,506,709,472,453,0.11921503101064787,0.19973544973544974
generate leads,May,AD_469024,Male,"New York City, New York",60+,2022-05-13,2022-05-20,65.00053882155402,1950,2730,84,0.7738159383518335,1,1706,243,610,853,568,546,0.11904860590028209,0.2
generate leads,May,AD_469003,Male,"Chicago,Illinois",18-25,2022-05-16,2022-05-31,98.56851439966823,2957,4139,53,1.859783290559778,2,2586,369,924,1293,862,827,0.11918804643248879,0.19980671659821214
brand awarness,July,AD_469206,Male,"New York City, New York",25-35,2022-07-01,2022-07-16,92.71661519597431,2781,3893,186,0.4984764257848081,3,2433,347,869,1217,811,778,0.11917302724418292,0.19984587721551503
brand awarness,June,AD_469183,Male,"New York City, New York",25-35,2022-06-19,2022-06-21,64.2747668058216,1928,2699,63,1.0202343937432,3,1686,240,603,843,562,539,0.11924817589206234,0.19970359392367543
website traffic,May,AD_468858,Female,"New York City, New York",60+,2022-05-05,2022-05-22,46.98125588282105,1409,1972,53,0.8864387902419066,2,1232,176,440,616,410,394,0.11924176620005343,0.1997971602434077
generate leads,July,AD_469054,Male,"Los Angeles, California",25-35,2022-07-14,2022-07-21,61.95271115677245,1858,2601,27,2.294544857658239,3,1625,232,580,813,541,520,0.11913982914763933,0.19992310649750097
website traffic,May,AD_468804,Female,"Houston, Texas",25-35,2022-05-10,2022-05-31,86.48257081638776,2594,3631,28,3.08866324344242,2,2269,324,810,1135,756,726,0.11912199836968011,0.19994491875516388
brand awarness,July,AD_469125,Female,"New York City, New York",45-60,2022-07-05,2022-07-08,16.095775050468045,482,674,46,0.34990815327104446,3,421,60,150,211,140,134,0.12011772425722422,0.19881305637982197
website traffic,May,AD_468853,Male,"Los Angeles, California",35-40,2022-05-12,2022-06-09,92.66595905042331,2779,3890,22,4.212089047746514,1,2431,347,868,1216,810,778,0.11910791651725361,0.2
website traffic,May,AD_468824,Male,"Phoenix, Arizona",25-35,2022-05-02,2022-05-22,85.33491952916536,2560,3584,35,2.438140557976153,1,2240,320,800,1120,746,716,0.1191828485044209,0.19977678571428573
brand awarness,May,AD_469348,Female,"Los Angeles, California",18-25,2022-05-29,2022-06-03,50.3978803578395,1511,2115,116,0.43446448584344394,1,1321,188,472,661,440,423,0.11914392519583805,0.2
brand awarness,May,AD_469221,Male,"Chicago,Illinois",25-35,2022-05-28,2022-06-24,91.44894614710385,2743,3840,35,2.612827032774396,1,2400,342,858,1200,800,768,0.11907414862904148,0.2
generate leads,June,AD_469056,Female,"Chicago,Illinois",60+,2022-06-16,2022-06-23,59.451231036788336,1783,2496,45,1.3211384674841853,3,1560,222,558,780,520,499,0.11914074356069806,0.1999198717948718
generate leads,July,AD_468973,Male,"New York City, New York",35-40,2022-07-16,2022-08-10,92.83774308277579,2785,3898,154,0.6028424875504921,1,2436,348,870,1218,812,779,0.1191755366916249,0.19984607491021036
brand awarness,May,AD_469188,Female,"Los Angeles, California",18-25,2022-05-19,2022-05-28,58.439835969515926,1753,2454,20,2.9219917984757964,2,1533,219,547,767,511,490,0.11926497136635904,0.19967400162999185
generate leads,July,AD_468981,Male,"Houston, Texas",35-40,2022-07-09,2022-07-19,82.62306927038564,2478,3469,33,2.503729371829868,3,2168,309,775,1084,722,693,0.11922520818237467,0.19976938599019892
brand awarness,June,AD_469123,Male,"Chicago,Illinois",35-40,2022-06-27,2022-07-07,79.53611982513058,2386,3340,154,0.516468310552796,1,2087,298,745,1044,695,668,0.11906604764241105,0.2
generate leads,May,AD_468993,Female,"New York City, New York",35-40,2022-05-06,2022-05-14,89.04239518239214,2671,3739,63,1.4133713521014626,1,2336,333,835,1168,778,747,0.11919999355072576,0.19978603904787376
brand awarness,May,AD_469371,Female,"Houston, Texas",25-35,2022-05-06,2022-05-21,54.47581620651526,1634,2287,148,0.36807983923321125,2,1429,204,510,715,476,457,0.11920309892016469,0.19982509838216003
brand awarness,June,AD_469274,Male,"Chicago,Illinois",35-40,2022-06-10,2022-07-04,32.253376180604164,967,1353,196,0.16455804173777636,2,845,120,302,423,281,270,0.11945694881705246,0.19955654101995565
website traffic,July,AD_468802,Female,"Houston, Texas",25-35,2022-07-02,2022-07-31,49.948339911821826,1498,2097,45,1.1099631091515962,3,1310,187,468,655,436,419,0.11920844847690173,0.19980925131139723
generate leads,May,AD_469079,Male,"Los Angeles, California",35-40,2022-05-18,2022-06-16,51.81407652838304,1554,2175,106,0.4888120427205947,2,1359,194,485,680,453,435,0.11911281960547826,0.2
generate leads,May,AD_469058,Female,"Houston, Texas",60+,2022-05-21,2022-06-17,52.23165697927578,1566,2192,156,0.33481831396971656,2,1370,195,490,685,456,438,0.11925035840017302,0.19981751824817517
website traffic,July,AD_468925,Male,"Phoenix, Arizona",18-25,2022-07-13,2022-08-01,32.87879626294553,986,1380,138,0.2382521468329386,2,862,123,308,431,287,276,0.1191260734164693,0.2
generate leads,July,AD_469051,Male,"Los Angeles, California",25-35,2022-07-19,2022-07-20,34.588356815704984,1037,1451,167,0.20711590907607774,3,906,129,324,453,302,290,0.11927019591622408,0.19986216402481047
generate leads,May,AD_468989,Male,"Houston, Texas",60+,2022-05-14,2022-05-15,38.83900105219509,1165,1631,95,0.4088315900231062,2,1019,145,364,510,339,326,0.11913804003740824,0.19987737584304108
website traffic,June,AD_468792,Male,"Los Angeles, California",18-25,2022-06-19,2022-06-23,83.9488977516962,2518,3525,55,1.5263435954853855,2,2203,314,787,1102,734,705,0.1190764507116258,0.2
generate leads,July,AD_469037,Male,"Houston, Texas",35-40,2022-07-10,2022-07-11,90.77642040364772,2723,3812,98,0.9262900041188543,2,2382,340,851,1191,794,762,0.1191291606347083,0.19989506820566633
generate leads,June,AD_468987,Male,"Houston, Texas",35-40,2022-06-10,2022-06-25,38.79223042013993,1163,1628,179,0.21671637106223424,1,1017,145,363,509,339,325,0.11936070898504594,0.19963144963144963
generate leads,May,AD_469004,Female,"Los Angeles, California",18-25,2022-05-03,2022-05-21,73.12982923125634,2193,3070,118,0.6197443155191215,1,1918,274,685,959,639,614,0.11910395640269762,0.2
generate leads,May,AD_468966,Female,"New York City, New York",25-35,2022-05-22,2022-06-17,95.76361129675213,2872,4020,64,1.496306426511752,2,2512,358,898,1256,837,804,0.11910896927456732,0.2
generate leads,July,AD_468959,Male,"Chicago,Illinois",18-25,2022-07-13,2022-07-28,33.64355438611044,1009,1412,172,0.195602060384363,1,882,126,315,441,294,282,0.11930338434790935,0.19971671388101983
brand awarness,May,AD_469166,Male,"New York City, New York",60+,2022-05-04,2022-05-20,66.76717615147666,2003,2804,184,0.36286508777976445,2,1752,250,626,876,584,560,0.11922710027049403,0.19971469329529243
website traffic,July,AD_468883,Female,"Phoenix, Arizona",60+,2022-07-28,2022-08-24,57.193537238008275,1715,2401,116,0.4930477348104162,1,1500,214,536,750,500,480,0.11915320257918391,0.19991670137442732
website traffic,May,AD_468878,Male,"Chicago,Illinois",45-60,2022-05-03,2022-05-21,84.31545530466141,2529,3540,27,3.1227946409133858,3,2212,316,790,1106,737,708,0.11908962613652742,0.2
brand awarness,May,AD_469272,Male,"New York City, New York",45-60,2022-05-07,2022-06-01,98.94605653166047,2968,4155,178,0.5558767220879802,2,2596,370,928,1298,865,831,0.11906866008623403,0.2
brand awarness,July,AD_469127,Male,"New York City, New York",60+,2022-07-25,2022-07-26,16.197687567074674,485,679,149,0.10870931253070251,2,424,60,152,212,141,135,0.1199828708672198,0.19882179675994108
website traffic,July,AD_468832,Male,"Los Angeles, California",60+,2022-07-11,2022-07-12,37.343800390197856,1120,1568,39,0.9575333433384066,2,980,140,350,490,326,313,0.11930926642235737,0.1996173469387755
brand awarness,June,AD_469104,Female,"New York City, New York",18-25,2022-06-28,2022-07-19,73.54749459912429,2206,3088,139,0.5291186661807503,2,1930,275,690,965,643,617,0.11920177406665201,0.19980569948186527
brand awarness,June,AD_469217,Female,"Los Angeles, California",25-35,2022-06-19,2022-06-20,28.245253514387866,847,1185,107,0.26397433191016695,2,740,105,265,370,246,237,0.11917828487083487,0.2
brand awarness,May,AD_469102,Male,"Houston, Texas",25-35,2022-05-15,2022-05-18,93.783511570568,2813,3938,165,0.568384918609503,3,2461,351,879,1231,820,787,0.11916583427009911,0.19984763839512443
generate leads,July,AD_469066,Male,"New York City, New York",60+,2022-07-02,2022-07-06,89.56727861528746,2687,3761,145,0.6177053697606032,1,2350,335,840,1175,783,752,0.11910542369054183,0.1999468226535496
website traffic,June,AD_468872,Male,"Los Angeles, California",25-35,2022-06-30,2022-07-06,39.23141358002799,1176,1646,85,0.46154604211797634,1,1028,146,368,514,342,329,0.11924441817637686,0.19987849331713245
brand awarness,June,AD_469154,Male,"Los Angeles, California",60+,2022-06-08,2022-06-13,99.72600579570513,2991,4187,198,0.5036666959379047,2,2616,373,935,1308,872,837,0.11914696032939681,0.19990446620492
website traffic,June,AD_468799,Male,"Phoenix, Arizona",25-35,2022-06-21,2022-07-04,76.31542689416112,2289,3204,112,0.6813877401264385,2,2002,286,715,1001,667,640,0.11924285452212675,0.19975031210986266
website traffic,July,AD_468830,Male,"Los Angeles, California",18-25,2022-07-06,2022-07-07,32.84828084729617,985,1379,139,0.236318567246735,3,861,123,307,431,287,275,0.11944829399016788,0.1994198694706309
brand awarness,May,AD_469375,Male,"Chicago,Illinois",18-25,2022-05-07,2022-05-16,79.23721045495955,2377,3327,125,0.6338976836396765,1,2079,297,742,1040,693,665,0.11915369993227,0.19987977156597536
website traffic,June,AD_468905,Female,"Chicago,Illinois",25-35,2022-06-21,2022-07-01,52.4518935940419,1573,2202,58,0.9043429930007224,2,1376,196,492,688,458,440,0.11920884907736795,0.19981834695731154
brand awarness,July,AD_469376,Male,"Chicago,Illinois",35-40,2022-07-22,2022-08-14,92.53008985584695,2775,3884,148,0.6252033098368037,1,2427,346,867,1214,809,776,0.1192398065152667,0.19979402677651906
brand awarness,July,AD_469156,Male,"Phoenix, Arizona",25-35,2022-07-04,2022-07-28,58.54708276531911,1756,2458,67,0.8738370561987927,1,1536,219,549,768,512,491,0.11924049443038516,0.19975589910496339
brand awarness,June,AD_469131,Female,"New York City, New York",25-35,2022-06-14,2022-07-09,67.37591862134458,2021,2829,31,2.173416729720793,1,1768,252,632,884,589,565,0.11924941348910545,0.19971721456344999
generate leads,May,AD_468991,Male,"New York City, New York",18-25,2022-05-13,2022-05-20,68.86092128061554,2065,2891,175,0.3934909787463745,3,1806,258,645,903,602,578,0.11913654200798537,0.19993081978554134
generate leads,May,AD_469032,Male,"Chicago,Illinois",35-40,2022-05-09,2022-06-06,38.28108912299134,1148,1607,53,0.7222847004337989,3,1004,143,359,502,334,321,0.11925572935511321,0.1997510889856876
brand awarness,May,AD_469251,Male,"Houston, Texas",45-60,2022-05-02,2022-05-25,57.306607308127134,1719,2406,99,0.5788546192740115,3,1503,214,537,752,501,481,0.11914055573415204,0.1999168744804655
website traffic,July,AD_468911,Female,"Los Angeles, California",60+,2022-07-05,2022-07-27,93.1650136129939,2794,3911,156,0.5972116257243199,3,2444,349,873,1222,814,782,0.11913684605242188,0.19994886218358476
generate leads,June,AD_468948,Female,"Houston, Texas",25-35,2022-06-15,2022-07-06,66.47732211747889,1994,2791,39,1.7045467209609972,3,1744,249,623,872,581,558,0.11913498587361808,0.19992834109638122
brand awarness,May,AD_469170,Male,"New York City, New York",45-60,2022-05-25,2022-05-27,37.5209367951491,1125,1575,63,0.595570425319827,1,984,140,352,492,328,315,0.11911408506396538,0.2
brand awarness,May,AD_469163,Male,"Chicago,Illinois",18-25,2022-05-17,2022-06-10,63.328836005942435,1899,2658,120,0.5277403000495203,2,1661,237,593,831,553,531,0.11926334464395939,0.19977426636568849
generate leads,May,AD_469064,Female,"Phoenix, Arizona",18-25,2022-05-25,2022-06-12,94.90981939872107,2847,3985,145,0.6545504786118694,1,2490,355,890,1245,830,797,0.11908383864331376,0.2
generate leads,June,AD_469087,Male,"Los Angeles, California",18-25,2022-06-07,2022-07-04,93.14697945768675,2794,3911,69,1.3499562240244458,3,2444,349,873,1222,814,782,0.1191137844727452,0.19994886218358476
brand awarness,May,AD_469095,Male,"Chicago,Illinois",18-25,2022-05-19,2022-06-15,34.32334337124718,1029,1440,157,0.21862002147291196,1,900,128,322,450,300,288,0.11917827559460825,0.2
brand awarness,May,AD_469261,Male,"Los Angeles, California",25-35,2022-05-25,2022-06-21,14.284432062390952,428,599,56,0.255079143971267,3,374,53,134,187,124,119,0.1200372442217727,0.1986644407345576
brand awarness,May,AD_469304,Male,"Los Angeles, California",35-40,2022-05-08,2022-05-18,93.35198315968942,2800,3919,169,0.5523785985780439,3,2449,349,875,1225,816,783,0.11922347785400948,0.19979586629242155
website traffic,July,AD_468842,Male,"Los Angeles, California",25-35,2022-07-01,2022-07-18,83.92749412681401,2517,3523,58,1.4470257608071382,2,2201,314,786,1101,733,704,0.11921519052104262,0.19982969060459835
generate leads,June,AD_469047,Male,"Los Angeles, California",25-35,2022-06-05,2022-06-14,17.845338229614143,535,749,49,0.36419057611457434,3,468,66,168,234,156,149,0.1197673706685513,0.19893190921228304
generate leads,June,AD_468947,Female,"Chicago,Illinois",35-40,2022-06-30,2022-07-14,65.11010898612412,1953,2734,193,0.3373580776483115,3,1708,244,610,854,569,546,0.11924928385737017,0.19970738844184346
website traffic,June,AD_468791,Male,"Los Angeles, California",60+,2022-06-28,2022-07-14,94.20319008737943,2826,3956,30,3.1401063362459807,2,2472,353,883,1236,824,791,0.11909379277797652,0.1999494438827098
brand awarness,July,AD_469267,Male,"Los Angeles, California",45-60,2022-07-03,2022-07-16,51.64660761420309,1549,2168,191,0.2704010869853565,1,1355,193,484,678,451,433,0.11927623005589628,0.1997232472324723
brand awarness,May,AD_469236,Male,"Phoenix, Arizona",25-35,2022-05-15,2022-06-07,53.98431538949434,1619,2266,131,0.41209401060682704,3,1416,202,506,708,472,453,0.11917067414899413,0.19991173874669022
