Campaign_Name,Campaign_Status,Ad_Type,Ad_ID,Start_Date,Gender,Age_Target,Location,Device,Amount_Spent_$,Impressions,Clicks,Conversions,Conversions_Values,Revenue,Revenue_$
sales,Eligible,Shopping Ads,AD_202579,2023-09-21,Male,35-40,Egypt,Tablet,124.54367072570679,2490,311,44,1680,1505,1540
sales,Paused,Search Ads,AD_202595,2023-07-21,Male,45-60,New Zealand,Tablet,142.40630124515286,2848,356,50,960,1040,1000
sales,Paused,Shopping Ads,AD_202493,2023-04-20,Female,18-25,Canada,Mobile,125.41308687724047,2508,313,44,1750,1295,1540
subscrition,Pending,Search Ads,AD_202407,2023-07-29,Female,35-40,South Africa,Desktop,130.79704238362547,2615,326,46,900,980,920
sales,Paused,Shopping Ads,AD_202465,2023-07-25,Female,45-60,Canada,Tablet,141.80828518246943,2836,354,50,1680,1400,1750
sales,Paused,Shopping Ads,AD_202469,2023-12-12,Male,18-25,Brazil,Desktop,111.02348981595375,2220,277,39,1330,1470,1365
subscrition,Ended,Google Shopping,AD_202411,2023-09-09,Female,35-40,Brazil,Tablet,131.7070057173384,2634,329,47,1568,1408,1504
sales,Ended,Google Shopping,AD_202521,2023-01-10,Female,18-25,Canada,Other,148.86528681050757,2977,372,53,1120,1664,1696
sales,Ended,Search Ads,AD_202455,2023-06-19,Female,35-40,Japan,Desktop,103.79563079039295,2075,259,37,1020,840,740
sales,Paused,Shopping Ads,AD_202582,2023-11-20,Male,18-25,Chile,Other,126.47790987114125,2529,316,45,1365,1645,1575
sales,Ended,Search Ads,AD_202598,2023-11-21,Female,45-60,Brazil,Mobile,110.27508850392209,2205,275,39,760,880,780
subscrition,Pending,Google Shopping,AD_202423,2023-05-12,Male,35-40,Japan,Mobile,131.57822111442798,2631,328,46,1664,1120,1472
sales,Pending,Shopping Ads,AD_202473,2023-12-07,Male,18-25,Brazil,Desktop,130.3254884048472,2606,325,46,1820,1610,1610
sales,Pending,Search Ads,AD_202509,2023-09-02,Male,35-40,South Africa,Mobile,136.05544900371532,2721,340,48,900,980,960
sales,Paused,Shopping Ads,AD_202573,2023-07-18,Female,25-35,Japan,Mobile,131.74333238038574,2634,329,47,1855,1365,1645
subscrition,Paused,Search Ads,AD_202421,2023-08-03,Male,35-40,France,Mobile,120.34672549842132,2406,300,42,1040,880,840
sales,Ended,Google Shopping,AD_202569,2023-11-24,Female,25-35,Canada,Other,147.5460094125448,2950,368,52,1600,1152,1664
subscrition,Paused,Shopping Ads,AD_202427,2023-06-10,Male,45-60,Argentina,Desktop,115.42028890098487,2308,288,41,1505,1470,1435
sales,Paused,Shopping Ads,AD_202448,2023-02-18,Male,35-40,Canada,Tablet,111.79661694382499,2235,279,39,1540,1505,1365
sales,Ended,Shopping Ads,AD_202458,2023-06-30,Male,25-35,Argentina,Tablet,104.10476292967614,2082,260,37,1610,1645,1295
sales,Eligible,Shopping Ads,AD_202572,2023-09-08,Female,60+,Brazil,Desktop,109.12048635766071,2182,272,38,1330,1575,1330
sales,Ended,Shopping Ads,AD_202546,2023-09-29,Female,25-35,Canada,Tablet,117.89014394057605,2357,294,42,1575,1330,1470
sales,Pending,Shopping Ads,AD_202590,2023-08-02,Male,18-25,France,Tablet,111.17219938160883,2223,277,39,1575,1680,1365
sales,Paused,Shopping Ads,AD_202502,2023-03-21,Male,25-35,Argentina,Mobile,120.15664508056028,2403,300,42,1750,1505,1470
subscrition,Paused,Google Shopping,AD_202399,2023-12-10,Male,25-35,China,Desktop,144.08436590783202,2881,360,51,1600,1536,1632
sales,Ended,Google Shopping,AD_202474,2023-01-30,Male,25-35,France,Desktop,149.9215260418424,2998,374,53,1504,1248,1696
sales,Paused,Google Shopping,AD_202516,2023-10-10,Male,60+,Brazil,Mobile,113.63079256070408,2272,284,40,1280,1472,1280
sales,Ended,Google Shopping,AD_202562,2023-05-12,Female,35-40,Germany,Other,123.62417419546317,2472,309,44,1632,1632,1408
subscrition,Ended,Google Shopping,AD_202408,2023-11-11,Female,25-35,Nigeria,Desktop,138.60245468225185,2772,346,49,1184,1536,1568
sales,Paused,Search Ads,AD_202449,2023-04-05,Male,18-25,Argentina,Tablet,105.07282861208816,2101,262,37,1020,860,740
sales,Paused,Shopping Ads,AD_202533,2023-08-24,Male,45-60,Germany,Tablet,136.56417933101488,2731,341,48,1855,1470,1680
subscrition,Eligible,Google Shopping,AD_202429,2023-04-22,Female,18-25,South Africa,Other,101.2791665065674,2025,253,36,1152,1312,1152
subscrition,Ended,Google Shopping,AD_202401,2023-10-11,Male,35-40,France,Mobile,107.29954820600175,2145,268,38,1536,1632,1216
sales,Ended,Search Ads,AD_202520,2023-09-14,Male,18-25,Brazil,Other,142.42322088169982,2848,356,50,1060,1020,1000
sales,Ended,Shopping Ads,AD_202586,2023-06-24,Male,60+,Japan,Tablet,136.81037537483672,2736,342,48,1470,1435,1680
subscrition,Paused,Search Ads,AD_202398,2023-07-15,Male,25-35,France,Mobile,145.56648070084418,2911,363,51,840,860,1020
sales,Eligible,Search Ads,AD_202551,2023-01-13,Male,45-60,Argentina,Desktop,104.93792562163445,2098,262,37,800,720,740
sales,Paused,Shopping Ads,AD_202489,2023-10-08,Female,45-60,China,Tablet,106.18881682744087,2123,265,37,1400,1645,1295
sales,Paused,Shopping Ads,AD_202481,2023-06-07,Female,35-40,China,Mobile,121.02191282807759,2420,302,43,1330,1610,1505
sales,Paused,Shopping Ads,AD_202511,2023-09-13,Male,25-35,Australia,Other,149.3291850977061,2986,373,53,1785,1295,1855
sales,Pending,Shopping Ads,AD_202472,2023-06-08,Male,35-40,Brazil,Other,129.14537591368173,2582,322,46,1820,1680,1610
sales,Eligible,Search Ads,AD_202540,2023-11-06,Female,45-60,France,Tablet,133.17868894735278,2663,332,47,1000,920,940
sales,Paused,Shopping Ads,AD_202500,2023-03-06,Male,25-35,Egypt,Other,132.93971422841605,2658,332,47,1575,1540,1645
sales,Paused,Search Ads,AD_202558,2023-05-28,Male,18-25,China,Tablet,122.34285543570856,2446,305,43,840,800,860
sales,Ended,Shopping Ads,AD_202457,2023-06-10,Male,35-40,Egypt,Tablet,120.74842095947645,2414,301,43,1260,1295,1505
sales,Ended,Search Ads,AD_202477,2023-07-23,Male,18-25,Australia,Mobile,118.79648114911376,2375,296,42,820,960,840
sales,Paused,Shopping Ads,AD_202534,2023-10-13,Female,45-60,United States,Desktop,105.60720871694413,2112,264,37,1575,1505,1295
sales,Paused,Shopping Ads,AD_202486,2023-08-02,Male,35-40,Egypt,Mobile,118.14508352078312,2362,295,42,1680,1295,1470
sales,Pending,Google Shopping,AD_202584,2023-08-27,Male,35-40,United States,Tablet,106.83530693702073,2136,267,38,1664,1248,1216
subscrition,Ended,Shopping Ads,AD_202400,2023-05-25,Male,18-25,South Africa,Desktop,121.86149638947055,2437,304,43,1820,1750,1505
sales,Paused,Search Ads,AD_202445,2023-12-26,Male,35-40,Japan,Mobile,109.7166875520601,2194,274,39,920,980,780
sales,Eligible,Search Ads,AD_202532,2023-06-12,Female,25-35,Brazil,Desktop,117.15103805912574,2343,292,41,960,940,820
sales,Eligible,Google Shopping,AD_202530,2023-08-18,Female,25-35,Brazil,Desktop,149.86032396160496,2997,374,53,1664,1376,1696
sales,Eligible,Google Shopping,AD_202517,2023-07-09,Male,35-40,United States,Other,117.73324567980531,2354,294,42,1568,1504,1344
sales,Paused,Google Shopping,AD_202596,2023-06-03,Female,18-25,Egypt,Mobile,105.25563438906747,2105,263,37,1504,1632,1184
subscrition,Pending,Search Ads,AD_202403,2023-07-26,Male,18-25,New Zealand,Mobile,124.40764434990514,2488,311,44,780,840,880
sales,Eligible,Google Shopping,AD_202460,2023-11-23,Female,60+,Canada,Other,119.43637639499634,2388,298,42,1600,1152,1344
sales,Ended,Google Shopping,AD_202494,2023-09-11,Male,18-25,New Zealand,Mobile,126.87750379476124,2537,317,45,1664,1632,1440
sales,Paused,Shopping Ads,AD_202542,2023-04-06,Male,18-25,Germany,Desktop,143.52256571596965,2870,358,51,1330,1645,1785
sales,Paused,Shopping Ads,AD_202543,2023-11-26,Male,18-25,South Africa,Tablet,149.0509601407764,2981,372,53,1260,1505,1855
sales,Paused,Search Ads,AD_202553,2023-11-30,Male,60+,South Africa,Tablet,130.41723152853484,2608,326,46,1000,720,920
subscrition,Paused,Search Ads,AD_202438,2023-06-27,Male,35-40,Egypt,Mobile,146.09925149741224,2921,365,52,920,940,1040
subscrition,Paused,Search Ads,AD_202410,2023-10-13,Female,25-35,New Zealand,Desktop,101.52829010387241,2030,253,36,920,980,720
sales,Eligible,Shopping Ads,AD_202447,2023-04-27,Male,45-60,Japan,Mobile,120.14902150965408,2402,300,42,1295,1400,1470
sales,Paused,Google Shopping,AD_202446,2023-09-16,Male,25-35,Nigeria,Mobile,127.60904979365229,2552,319,45,1152,1440,1440
sales,Pending,Shopping Ads,AD_202459,2023-10-26,Male,60+,Japan,Desktop,147.09537261006358,2941,367,52,1260,1470,1820
sales,Ended,Shopping Ads,AD_202498,2023-05-24,Male,25-35,Canada,Other,129.07581675271973,2581,322,46,1330,1750,1610
subscrition,Pending,Google Shopping,AD_202419,2023-06-20,Male,45-60,Nigeria,Desktop,145.42956680390498,2908,363,51,1664,1152,1632
sales,Paused,Search Ads,AD_202585,2023-01-26,Male,25-35,France,Other,113.36033217420604,2267,283,40,920,920,800
sales,Paused,Google Shopping,AD_202508,2023-12-26,Male,45-60,China,Desktop,121.19537676674005,2423,302,43,1504,1504,1376
sales,Ended,Shopping Ads,AD_202531,2023-02-18,Male,18-25,Canada,Desktop,120.1779143122601,2403,300,42,1295,1855,1470
subscrition,Paused,Search Ads,AD_202412,2023-06-30,Female,25-35,France,Mobile,132.80877677043028,2656,332,47,820,920,940
sales,Ended,Shopping Ads,AD_202554,2023-12-15,Male,45-60,Canada,Other,138.03646946554025,2760,345,49,1505,1785,1715
sales,Ended,Search Ads,AD_202487,2023-02-14,Male,45-60,China,Mobile,107.29319899098441,2145,268,38,740,940,760
sales,Paused,Shopping Ads,AD_202491,2023-10-26,Female,25-35,Japan,Mobile,146.84195463553573,2936,367,52,1365,1295,1820
subscrition,Ended,Google Shopping,AD_202409,2023-03-05,Male,60+,France,Tablet,101.83077490134556,2036,254,36,1504,1504,1152
sales,Paused,Shopping Ads,AD_202575,2023-09-04,Male,60+,Chile,Mobile,106.80364705550062,2136,267,38,1680,1750,1330
subscrition,Ended,Google Shopping,AD_202426,2023-05-31,Female,25-35,Canada,Mobile,121.08259616163902,2421,302,43,1248,1632,1376
sales,Eligible,Shopping Ads,AD_202565,2023-07-03,Female,25-35,Australia,Other,134.60935790571298,2692,336,48,1750,1295,1680
subscrition,Ended,Shopping Ads,AD_202425,2023-12-23,Male,45-60,Brazil,Mobile,131.45091004065023,2629,328,46,1610,1330,1610
sales,Ended,Shopping Ads,AD_202476,2023-07-11,Male,60+,Argentina,Tablet,139.44802503370533,2788,348,49,1785,1750,1715
subscrition,Ended,Shopping Ads,AD_202415,2023-03-11,Female,45-60,Japan,Desktop,117.60037782934525,2352,294,42,1610,1645,1470
sales,Ended,Shopping Ads,AD_202483,2023-05-02,Male,45-60,Brazil,Mobile,136.04651050360295,2720,340,48,1715,1260,1680
sales,Paused,Shopping Ads,AD_202470,2023-05-25,Male,25-35,France,Tablet,133.9234747291525,2678,334,47,1750,1680,1645
sales,Eligible,Search Ads,AD_202535,2023-08-29,Male,25-35,China,Mobile,137.1005781528857,2742,342,48,840,1040,960
sales,Eligible,Shopping Ads,AD_202561,2023-06-20,Female,25-35,Brazil,Mobile,140.2102168452416,2804,350,50,1855,1540,1750
subscrition,Eligible,Shopping Ads,AD_202414,2023-08-09,Male,60+,Canada,Mobile,106.67471995874824,2133,266,38,1645,1470,1330
sales,Eligible,Shopping Ads,AD_202504,2023-07-24,Male,60+,Canada,Other,109.24017554978786,2184,273,39,1470,1820,1365
subscrition,Pending,Search Ads,AD_202422,2023-12-10,Female,35-40,Argentina,Mobile,136.72809966705853,2734,341,48,1040,980,960
subscrition,Eligible,Google Shopping,AD_202404,2023-04-21,Female,25-35,Egypt,Mobile,103.7306574190089,2074,259,37,1344,1216,1184
sales,Ended,Shopping Ads,AD_202468,2023-09-28,Male,25-35,Australia,Tablet,102.85741665467334,2057,257,36,1295,1575,1260
sales,Paused,Search Ads,AD_202515,2023-01-12,Female,35-40,New Zealand,Mobile,111.26746984593896,2225,278,39,920,880,780
sales,Ended,Google Shopping,AD_202578,2023-07-13,Male,35-40,Brazil,Tablet,110.55296270010996,2211,276,39,1568,1568,1248
sales,Ended,Google Shopping,AD_202464,2023-05-26,Male,18-25,Germany,Desktop,141.59758654740725,2831,353,50,1536,1312,1600
sales,Ended,Shopping Ads,AD_202593,2023-01-11,Female,45-60,Japan,Tablet,130.20064663409272,2604,325,46,1820,1365,1610
sales,Ended,Shopping Ads,AD_202541,2023-03-31,Male,35-40,Japan,Desktop,113.03396122250423,2260,282,40,1295,1785,1400
sales,Ended,Search Ads,AD_202466,2023-03-10,Male,45-60,South Africa,Mobile,107.77247687958352,2155,269,38,720,880,760
subscrition,Paused,Shopping Ads,AD_202396,2023-12-07,Female,45-60,Brazil,Mobile,117.2781695861346,2345,293,41,1680,1435,1435
sales,Eligible,Google Shopping,AD_202547,2023-08-15,Male,45-60,Australia,Other,116.4447011907942,2328,291,41,1536,1248,1312
sales,Paused,Shopping Ads,AD_202537,2023-12-01,Female,60+,Canada,Mobile,142.97132289826158,2859,357,51,1260,1715,1785
sales,Pending,Shopping Ads,AD_202462,2023-07-28,Female,35-40,France,Mobile,141.21931835806924,2824,353,50,1365,1855,1750
sales,Pending,Google Shopping,AD_202512,2023-08-10,Male,18-25,France,Mobile,122.97825463875999,2459,307,43,1344,1376,1376
sales,Ended,Shopping Ads,AD_202574,2023-08-07,Male,25-35,Brazil,Mobile,123.6414727805089,2472,309,44,1715,1750,1540
sales,Paused,Google Shopping,AD_202559,2023-08-22,Female,35-40,South Africa,Mobile,133.40107344248048,2668,333,47,1568,1248,1504
sales,Paused,Search Ads,AD_202479,2023-09-05,Male,35-40,France,Mobile,124.02544347624062,2480,310,44,840,800,880
sales,Eligible,Shopping Ads,AD_202503,2023-02-11,Male,18-25,Brazil,Tablet,114.03524662700325,2280,285,40,1540,1680,1400
sales,Eligible,Search Ads,AD_202480,2023-12-20,Male,18-25,Brazil,Desktop,118.55261507289808,2371,296,42,740,780,840
sales,Pending,Google Shopping,AD_202485,2023-04-04,Male,18-25,South Africa,Tablet,133.72059981664643,2674,334,47,1216,1312,1504
sales,Eligible,Search Ads,AD_202490,2023-06-29,Male,25-35,Brazil,Tablet,149.36418707057177,2987,373,53,740,840,1060
subscrition,Ended,Shopping Ads,AD_202439,2023-07-20,Female,25-35,France,Mobile,147.2077540839125,2944,368,52,1820,1645,1820
sales,Eligible,Shopping Ads,AD_202522,2023-09-08,Male,60+,Brazil,Mobile,117.5923975792999,2351,293,41,1645,1540,1435
sales,Paused,Google Shopping,AD_202544,2023-07-19,Male,25-35,Australia,Mobile,129.87101816435782,2597,324,46,1280,1344,1472
sales,Pending,Google Shopping,AD_202552,2023-04-27,Female,35-40,Brazil,Mobile,113.34585771439251,2266,283,40,1344,1216,1280
sales,Ended,Shopping Ads,AD_202528,2023-04-19,Male,45-60,South Africa,Desktop,141.9038295597294,2838,354,50,1820,1610,1750
subscrition,Pending,Shopping Ads,AD_202392,2023-09-09,Male,45-60,Brazil,Mobile,133.29609663531173,2665,333,47,1750,1330,1645
sales,Pending,Shopping Ads,AD_202454,2023-03-21,Female,18-25,Argentina,Other,125.86437561297485,2517,314,44,1470,1365,1540
sales,Eligible,Shopping Ads,AD_202576,2023-03-06,Female,60+,Australia,Desktop,147.70190698800405,2954,369,52,1785,1470,1820
subscrition,Paused,Google Shopping,AD_202441,2023-04-16,Female,45-60,Canada,Mobile,109.6091769004726,2192,274,39,1280,1344,1248
sales,Paused,Search Ads,AD_202592,2023-01-25,Male,18-25,China,Mobile,134.45060586888144,2689,336,48,900,740,960
sales,Pending,Shopping Ads,AD_202560,2023-07-04,Male,18-25,France,Desktop,127.6078326220187,2552,319,45,1505,1295,1575
subscrition,Paused,Google Shopping,AD_202437,2023-06-20,Female,18-25,Australia,Desktop,137.9447626447291,2758,344,49,1696,1632,1568
sales,Ended,Shopping Ads,AD_202496,2023-02-07,Female,45-60,Brazil,Desktop,111.63821879110284,2232,279,39,1575,1295,1365
sales,Eligible,Search Ads,AD_202495,2023-01-21,Female,18-25,Chile,Other,119.20127824740455,2384,298,42,740,820,840
sales,Ended,Shopping Ads,AD_202591,2023-10-05,Male,18-25,Canada,Mobile,121.64125353020877,2432,304,43,1785,1645,1505
subscrition,Paused,Shopping Ads,AD_202405,2023-01-24,Female,25-35,Brazil,Mobile,123.96860389056167,2479,309,44,1750,1715,1540
subscrition,Ended,Shopping Ads,AD_202428,2023-01-10,Female,35-40,Brazil,Mobile,136.5888354615096,2731,341,48,1820,1645,1680
sales,Paused,Google Shopping,AD_202453,2023-12-22,Female,60+,China,Other,122.02503501902925,2440,305,43,1632,1440,1376
subscrition,Pending,Search Ads,AD_202406,2023-10-02,Male,18-25,France,Mobile,110.83330761939581,2216,277,39,920,940,780
sales,Ended,Google Shopping,AD_202571,2023-11-21,Female,45-60,Egypt,Mobile,130.3629522617446,2607,325,46,1568,1344,1472
sales,Pending,Shopping Ads,AD_202545,2023-03-12,Female,45-60,Australia,Tablet,142.85231414563756,2857,357,51,1785,1330,1785
sales,Pending,Google Shopping,AD_202526,2023-07-08,Male,45-60,Argentina,Tablet,106.48688579396037,2129,266,38,1696,1440,1216
